"6","Deutsche Telekom","DTE.DE","151759530667","30.4822","Germany"
"95","Freenet","FNTN.F","3577618999","30.0891","Germany"
"102","United Internet","UTDI.F","2915520543","16.7939","Germany"
"113","1&1","1U1.DE","2201880780","12.4894","Germany"
"141","Adtran Networks","ADV.DE","1092747074","20.9924","Germany"
"191","NFON AG","NFN.DE","95258253","5.35411","Germany"
"194","Tele Columbus","TC1.HM","79788041","0.254453","Germany"
"197","ecotel communication","E4C.DE","49866412","14.207","Germany"
"200","Mynaric","MYNA","36646288","1.45","Germany"
