"28","Vodafone","VOD","25460008960","10.37","United Kingdom"
"29","BT Group","BT-A.L","25385528512","2.609","United Kingdom"
"64","Airtel Africa","AAF.L","8819648668","2.41293","United Kingdom"
"71","Zegona Communications","ZEG.L","7489507841","9.86487","United Kingdom"
"97","Liberty Global","LBTYB","3488419328","9.6","United Kingdom"
"123","IHS Towers","IHS","1901733120","5.668","United Kingdom"
"130","Helios Towers","HTWS.L","1722701489","1.63959","United Kingdom"
"135","Gamma Communications","GAMA.L","1437456972","15.4668","United Kingdom"
